Abbreviation	Location	State Town Name Size (est) Abbreviation
LtRk	Little Rock AR	AR Little Rock‡ - 25 LtRk
NMAD	New Haven CT	CT New Haven NOMAD Folk Festival 100 NMAD
BtrB	Arden DE	DE Arden Butter Ball 400 BtrB
UChg	Chicago IL	IL Chicago‡ University of Chicago - UChg
BIN	Bloomington IN	IN Bloomington‡ - 40 BIN
MIT	Cambridge MA	MA Cambridge MIT Folkdance Club 25 MIT
VFW	Cambridge MA	Cambridge VFW Hall (closed) 200 VFW
SctH	Concord MA	Concord Scout House 150 SctH
GFld	Greenfield MA	Greenfield Guiding Star Grange 150 GFld
SStp	Medford MA	Medford SpringStep 150 SStp
NEFF	Natick MA	Natick New England Folk Festival 1000 NEFF
Btmr	Baltimore MD	MD Baltimore - 50 Btmr
GlnE	Glen Echo MD	Glen Echo - 120 GlnE
StL	St Louis MO	MO St Louis‡ - 60 StL
LEAF	Black Mountain NC	NC Black Mountain Lake Eden Arts Festival 500 LEAF
WrnW	Swannanoa NC	Swannanoa Warren Wilson 200 WrnW
Cbry	Canterbury NH	NH Canterbury Wind in the Timothy 10 Cbry
CNH	Concord NH	Concord - 20 CNH
Lbvl	Lambertville NJ	NJ Lambertville - 100 Lbvl
R&O	Lawrenceville NJ	Lawrenceville Rum and Onions XXVII 180 R&O
FRFF	Hillsdale NY	NY Hillsdale Falcon Ridge Folk Fest 350 FRFF
Abny	Albany NY	Albany‡ - 50 Abny
Elsn	Elverson PA	PA Elverson - 65 Elsn
Glns	Glenside PA	Glenside - 100 Glns
Swat	Swarthmore PA	Swarthmore Swarthmore Folkdance Club 20 Swat
Ober	Oberlin OH	OH Oberlin‡ - - Ober
Clvl	Cleveland OH	Cleveland‡ - - Clvl
Clmb	Columbus OH	Columbus‡ - - Clmb
Atns	Athens TN	TN Athens‡ - - Atns
AuCp	Austin TX	TX Austin‡ Carpenter’s Hall 50 AuCp
AuSp	Austin TX	Austin‡ St. Paul’s 70 AuSp
Dals	Dallas TX	Dallas‡ - 90 Dals
Husn	Huston TX	Huston‡ - 35 Husn
DwnD	Brattleboro VT	VT Brattleboro Dawn Dance 400 DwnD
CVFF	Ferrisburgh VT	Ferrisburgh Champlain Valley Folk Fest 120 CVFF